Indicator Name,Geography,Year,Category,Subcategory,Number Low Birthweight,Number Live Births,Percent Low Birthweight,Lower 95% Confidence Limit,Upper 95% Confidence Limit
Low Birthweight,San Luis Obispo,2023,Total Population,Total population,170.0,2440.0,6.97,6.02,8.05
Low Birthweight,San Mateo,2023,Total Population,Total population,471.0,7155.0,6.58,6.03,7.18
Low Birthweight,Santa Barbara,2023,Total Population,Total population,393.0,5428.0,7.24,6.58,7.96
Low Birthweight,Santa Clara,2023,Total Population,Total population,1371.0,18302.0,7.49,7.12,7.88
Low Birthweight,Santa Cruz,2023,Total Population,Total population,133.0,2128.0,6.25,5.3,7.36
Low Birthweight,Shasta,2023,Total Population,Total population,139.0,1823.0,7.62,6.49,8.93
Low Birthweight,Sierra,2023,Total Population,Total population,0.0,17.0,0.0,0.0,0.0
Low Birthweight,Siskiyou,2023,Total Population,Total population,34.0,371.0,9.16,6.63,12.53
Low Birthweight,Solano,2023,Total Population,Total population,394.0,4644.0,8.48,7.72,9.32
Low Birthweight,Sonoma,2023,Total Population,Total population,265.0,4338.0,6.11,5.43,6.86
Low Birthweight,Stanislaus,2023,Total Population,Total population,465.0,6658.0,6.98,6.4,7.62
Low Birthweight,Sutter,2023,Total Population,Total population,94.0,1231.0,7.64,6.28,9.25
Low Birthweight,Tehama,2023,Total Population,Total population,47.0,764.0,6.15,4.66,8.08
Low Birthweight,Trinity,2023,Total Population,Total population,0.0,94.0,0.0,0.0,0.0
Low Birthweight,Tulare,2023,Total Population,Total population,508.0,6566.0,7.74,7.12,8.41
Low Birthweight,Tuolumne,2023,Total Population,Total population,33.0,437.0,7.55,5.43,10.42
Low Birthweight,Ventura,2023,Total Population,Total population,547.0,8453.0,6.47,5.97,7.02
Low Birthweight,Yolo,2023,Total Population,Total population,117.0,1888.0,6.2,5.2,7.38
Low Birthweight,Yuba,2023,Total Population,Total population,95.0,1065.0,8.92,7.35,10.78
Low Birthweight,California,2023,Race Alone and Ethnicity,Hispanic of any race,14244.0,194505.0,7.32,7.21,7.44
Low Birthweight,California,2023,Race Alone and Ethnicity,Multiracial alone,777.0,10060.0,7.72,7.22,8.26
Low Birthweight,California,2023,Race Alone and Ethnicity,Black alone,2382.0,17931.0,13.28,12.8,13.79
Low Birthweight,California,2023,Race Alone and Ethnicity,AIAN alone,91.0,1123.0,8.1,6.65,9.85
Low Birthweight,California,2023,Race Alone and Ethnicity,Asian alone,4720.0,54591.0,8.65,8.41,8.88
Low Birthweight,California,2023,Race Alone and Ethnicity,NHPI alone,133.0,1429.0,9.31,7.91,10.92
Low Birthweight,California,2023,Race Alone and Ethnicity,White alone,6038.0,103066.0,5.86,5.72,6.0
Low Birthweight,California,2023,Race Alone and Ethnicity,Other alone,47.0,457.0,10.28,7.82,13.41
Low Birthweight,California,2023,Race Alone and Ethnicity,Unknown alone,1624.0,16873.0,9.62,9.19,10.08
Low Birthweight,California,2023,Age,<20 years,1041.0,11666.0,8.92,8.42,9.45
Low Birthweight,California,2023,Age,20-24 years,3889.0,52868.0,7.36,7.14,7.58
Low Birthweight,California,2023,Age,25-29 years,6571.0,95803.0,6.86,6.7,7.02
Low Birthweight,California,2023,Age,30-34 years,9185.0,129800.0,7.08,6.94,7.22
Low Birthweight,California,2023,Age,35-39 years,6873.0,85764.0,8.01,7.83,8.2
Low Birthweight,California,2023,Age,40+ years,2491.0,24109.0,10.33,9.95,10.72
Low Birthweight,California,2023,Education,Less than high school,2961.0,36628.0,8.08,7.81,8.37
Low Birthweight,California,2023,Education,High school graduate,7358.0,92448.0,7.96,7.79,8.14
Low Birthweight,California,2023,Education,Some college,7044.0,93596.0,7.53,7.36,7.7
Low Birthweight,California,2023,Education,College graduate,9556.0,141979.0,6.73,6.6,6.86
Low Birthweight,California,2023,Delivery Payment Source,Private,15269.0,210668.0,7.25,7.14,7.36
Low Birthweight,California,2023,Delivery Payment Source,Medi-Cal,12958.0,161682.0,8.01,7.88,8.15
Low Birthweight,California,2023,Delivery Payment Source,Other,1079.0,15324.0,7.04,6.65,7.46
Low Birthweight,California,2023,Delivery Payment Source,Self-pay,420.0,9933.0,4.23,3.85,4.64
Low Birthweight,California,2023,Delivery Method,Vaginal,13923.0,273863.0,5.08,5.0,5.17
Low Birthweight,California,2023,Delivery Method,Cesarean,16131.0,126133.0,12.79,12.61,12.97
Low Birthweight,California,2023,Nativity,Born in U.S.,20009.0,267160.0,7.49,7.39,7.59
Low Birthweight,California,2023,Nativity,Born outside U.S.,9961.0,132027.0,7.54,7.4,7.69
Low Birthweight,California,2023,Sex,Male,14378.0,204829.0,7.02,6.91,7.13
Low Birthweight,California,2023,Sex,Female,15675.0,195199.0,8.03,7.91,8.15
Low Birthweight,California,2023,Prepregnancy Weight,Underweight,1080.0,10029.0,10.77,10.18,11.39
Low Birthweight,California,2023,Prepregnancy Weight,Normal weight,10718.0,148374.0,7.22,7.09,7.36
Low Birthweight,California,2023,Prepregnancy Weight,Overweight,7906.0,109608.0,7.21,7.06,7.37
Low Birthweight,California,2023,Prepregnancy Weight,Obese,8871.0,116479.0,7.62,7.47,7.77
Birthweight,California,2023,Birthweight Category,Very low (<1500g),4532.0,400035.0,1.13,1.1,1.17
Birthweight,California,2023,Birthweight Category,Low (<2500g),30056.0,400035.0,7.51,7.43,7.6
Birthweight,California,2023,Birthweight Category,Normal (2500-3999g),340527.0,400035.0,85.12,85.01,85.23
Birthweight,California,2023,Birthweight Category,High (4000g+),29452.0,400035.0,7.36,7.28,7.44
Low Birthweight,California,2023,Population Density,Frontier,129.0,1804.0,7.15,6.05,8.43
Low Birthweight,California,2023,Population Density,Rural,3824.0,53193.0,7.19,6.97,7.41
Low Birthweight,California,2023,Population Density,Urban,25741.0,341652.0,7.53,7.45,7.62
Low Birthweight,California,2023,Neighborhood Poverty,<10%,13305.0,187058.0,7.11,7.0,7.23
Low Birthweight,California,2023,Neighborhood Poverty,10-19%,10485.0,137253.0,7.64,7.5,7.78
Low Birthweight,California,2023,Neighborhood Poverty,20-29%,4155.0,51697.0,8.04,7.81,8.27
Low Birthweight,California,2023,Neighborhood Poverty,30-39%,1345.0,15806.0,8.51,8.08,8.95
Low Birthweight,California,2023,Neighborhood Poverty,40%+,392.0,4765.0,8.23,7.48,9.04
Low Birthweight,California,2023,Total Live Births,0 prior live births,13052.0,162506.0,8.03,7.9,8.16
Low Birthweight,California,2023,Total Live Births,1-2 prior live births,12726.0,189072.0,6.73,6.62,6.84
Low Birthweight,California,2023,Total Live Births,3+ prior live births,4247.0,48135.0,8.82,8.57,9.08
Low Birthweight,California,2023,Gestational Age,Early preterm (<34 weeks),8975.0,9430.0,95.17,94.72,95.59
Low Birthweight,California,2023,Gestational Age,Late preterm (34-36 weeks),11550.0,27127.0,42.58,41.99,43.17
Low Birthweight,California,2023,Gestational Age,Early term (37-38 weeks),7843.0,110084.0,7.12,6.97,7.28
Low Birthweight,California,2023,Gestational Age,Term (39-41 weeks),1625.0,251939.0,0.64,0.61,0.68
Low Birthweight,California,2023,Gestational Age,Late term (42+ weeks),0.0,929.0,0.0,0.0,0.0
Low Birthweight,California,2023,Gestational Age,Preterm (<37 weeks),20525.0,36557.0,56.15,55.64,56.65
Low Birthweight,California,2023,Prenatal Care (Trimester of Initiation),First trimester,24382.0,328627.0,7.42,7.33,7.51
Low Birthweight,California,2023,Prenatal Care (Trimester of Initiation),Second trimester,3445.0,46737.0,7.37,7.14,7.61
Low Birthweight,California,2023,Prenatal Care (Trimester of Initiation),Third trimester,587.0,10505.0,5.59,5.16,6.04
Low Birthweight,California,2023,Prenatal Care (Trimester of Initiation),No prenatal care,529.0,3092.0,17.11,15.82,18.48
Low Birthweight,California,2023,Prenatal Care (Adequacy of Utilization),Inadequate,2714.0,36829.0,7.37,7.11,7.64
Low Birthweight,California,2023,Prenatal Care (Adequacy of Utilization),Intermediate,2170.0,62008.0,3.5,3.36,3.65
Low Birthweight,California,2023,Prenatal Care (Adequacy of Utilization),Adequate,6183.0,156633.0,3.95,3.85,4.05
Low Birthweight,California,2023,Prenatal Care (Adequacy of Utilization),Adequate Plus,17774.0,132391.0,13.43,13.24,13.61
Low Birthweight,California,2023,Plurality,Single,23582.0,388375.0,6.07,6.0,6.15
Low Birthweight,California,2023,Plurality,Twin,6264.0,11444.0,54.74,53.82,55.65
Low Birthweight,California,2023,Plurality,Triplet and higher-order,209.0,215.0,97.21,94.05,98.71
Low Birthweight,California,2023,Asian Alone Subgroup,Chinese,813.0,12435.0,6.54,6.12,6.99
Low Birthweight,California,2023,Asian Alone Subgroup,Japanese,96.0,1201.0,7.99,6.59,9.66
Low Birthweight,California,2023,Asian Alone Subgroup,Korean,165.0,2940.0,5.61,4.84,6.5
Low Birthweight,California,2023,Asian Alone Subgroup,Vietnamese,416.0,5052.0,8.23,7.51,9.02
Low Birthweight,California,2023,Asian Alone Subgroup,Cambodian,110.0,991.0,11.1,9.29,13.21
Low Birthweight,California,2023,Asian Alone Subgroup,Thai,23.0,366.0,6.28,4.22,9.25
Low Birthweight,California,2023,Asian Alone Subgroup,Laotian,46.0,389.0,11.83,8.98,15.41
Low Birthweight,California,2023,Asian Alone Subgroup,Hmong,153.0,2021.0,7.57,6.5,8.81
Low Birthweight,California,2023,Asian Alone Subgroup,Asian Indian,1163.0,11061.0,10.51,9.96,11.1
Low Birthweight,California,2023,Asian Alone Subgroup,Filipino,1007.0,9242.0,10.9,10.28,11.55
Low Birthweight,California,2023,Asian Alone Subgroup,Two or more subgroups,164.0,1884.0,8.7,7.51,10.06
Low Birthweight,California,2023,Asian Alone Subgroup,Other Asian,564.0,7009.0,8.05,7.43,8.71
Low Birthweight,California,2021-2023,Total Population,Total population,91783.0,1239780.0,7.4,7.36,7.45
Low Birthweight,Alameda,2021-2023,Total Population,Total population,3837.0,49725.0,7.72,7.49,7.95
Low Birthweight,Alpine,2021-2023,Total Population,Total population,0.0,23.0,0.0,0.0,0.0
Low Birthweight,Amador,2021-2023,Total Population,Total population,67.0,973.0,6.89,5.46,8.65
Low Birthweight,Butte,2021-2023,Total Population,Total population,431.0,6033.0,7.14,6.52,7.82
Low Birthweight,Calaveras,2021-2023,Total Population,Total population,74.0,1139.0,6.5,5.21,8.08
Low Birthweight,Colusa,2021-2023,Total Population,Total population,61.0,809.0,7.54,5.91,9.57
Low Birthweight,Contra Costa,2021-2023,Total Population,Total population,2617.0,34718.0,7.54,7.26,7.82
Low Birthweight,Del Norte,2021-2023,Total Population,Total population,60.0,781.0,7.68,6.01,9.76
Low Birthweight,El Dorado,2021-2023,Total Population,Total population,297.0,4593.0,6.47,5.79,7.21
Low Birthweight,Fresno,2021-2023,Total Population,Total population,3211.0,40998.0,7.83,7.58,8.1
Low Birthweight,Glenn,2021-2023,Total Population,Total population,52.0,1035.0,5.02,3.85,6.53
Low Birthweight,Humboldt,2021-2023,Total Population,Total population,229.0,3540.0,6.47,5.7,7.33
Low Birthweight,Imperial,2021-2023,Total Population,Total population,520.0,7455.0,6.98,6.42,7.58
Low Birthweight,Inyo,2021-2023,Total Population,Total population,35.0,447.0,7.83,5.68,10.69
Low Birthweight,Kern,2021-2023,Total Population,Total population,2864.0,37047.0,7.73,7.46,8.01
Low Birthweight,Kings,2021-2023,Total Population,Total population,455.0,6234.0,7.3,6.68,7.97
Low Birthweight,Lake,2021-2023,Total Population,Total population,146.0,1954.0,7.47,6.39,8.72
Low Birthweight,Lassen,2021-2023,Total Population,Total population,70.0,824.0,8.5,6.78,10.6
Low Birthweight,Los Angeles,2021-2023,Total Population,Total population,21803.0,281786.0,7.74,7.64,7.84
Low Birthweight,Madera,2021-2023,Total Population,Total population,414.0,6394.0,6.47,5.9,7.1
Low Birthweight,Marin,2021-2023,Total Population,Total population,377.0,6761.0,5.58,5.05,6.15
Low Birthweight,Mariposa,2021-2023,Total Population,Total population,36.0,466.0,7.73,5.63,10.51
Low Birthweight,Mendocino,2021-2023,Total Population,Total population,166.0,2560.0,6.48,5.59,7.5
Low Birthweight,Merced,2021-2023,Total Population,Total population,799.0,11492.0,6.95,6.5,7.43
Low Birthweight,Modoc,2021-2023,Total Population,Total population,24.0,251.0,9.56,6.51,13.83
Low Birthweight,Mono,2021-2023,Total Population,Total population,33.0,371.0,8.89,6.4,12.23
Low Birthweight,Monterey,2021-2023,Total Population,Total population,1133.0,16471.0,6.88,6.5,7.28
Low Birthweight,Napa,2021-2023,Total Population,Total population,247.0,3585.0,6.89,6.11,7.77
Low Birthweight,Nevada,2021-2023,Total Population,Total population,119.0,2359.0,5.04,4.23,6.0
Low Birthweight,Orange,2021-2023,Total Population,Total population,6541.0,91397.0,7.16,6.99,7.33
Low Birthweight,Placer,2021-2023,Total Population,Total population,651.0,11376.0,5.72,5.31,6.16
Low Birthweight,Plumas,2021-2023,Total Population,Total population,36.0,438.0,8.22,6.0,11.17
Low Birthweight,Riverside,2021-2023,Total Population,Total population,6004.0,81949.0,7.33,7.15,7.51
Low Birthweight,Sacramento,2021-2023,Total Population,Total population,3937.0,53907.0,7.3,7.09,7.53
Low Birthweight,San Benito,2021-2023,Total Population,Total population,171.0,2466.0,6.93,6.0,8.01
Low Birthweight,San Bernardino,2021-2023,Total Population,Total population,6466.0,78014.0,8.29,8.1,8.48
Low Birthweight,San Diego,2021-2023,Total Population,Total population,7724.0,110994.0,6.96,6.81,7.11
Low Birthweight,San Francisco,2021-2023,Total Population,Total population,1562.0,21357.0,7.31,6.97,7.67
Low Birthweight,San Joaquin,2021-2023,Total Population,Total population,2326.0,29438.0,7.9,7.6,8.22
Low Birthweight,San Luis Obispo,2021-2023,Total Population,Total population,498.0,7305.0,6.82,6.26,7.42
Low Birthweight,San Mateo,2021-2023,Total Population,Total population,1550.0,22164.0,6.99,6.66,7.34
Low Birthweight,Santa Barbara,2021-2023,Total Population,Total population,1154.0,16580.0,6.96,6.58,7.36
Low Birthweight,Santa Clara,2021-2023,Total Population,Total population,4298.0,56419.0,7.62,7.4,7.84
Low Birthweight,Santa Cruz,2021-2023,Total Population,Total population,430.0,6692.0,6.43,5.86,7.04
Low Birthweight,Shasta,2021-2023,Total Population,Total population,382.0,5435.0,7.03,6.38,7.74
Low Birthweight,Sierra,2021-2023,Total Population,Total population,0.0,61.0,0.0,0.0,0.0
Low Birthweight,Siskiyou,2021-2023,Total Population,Total population,101.0,1173.0,8.61,7.14,10.35
Low Birthweight,Solano,2021-2023,Total Population,Total population,1147.0,14460.0,7.93,7.5,8.38
Low Birthweight,Sonoma,2021-2023,Total Population,Total population,786.0,13322.0,5.9,5.51,6.31
Low Birthweight,Stanislaus,2021-2023,Total Population,Total population,1454.0,20934.0,6.95,6.61,7.3
Low Birthweight,Sutter,2021-2023,Total Population,Total population,274.0,3700.0,7.41,6.61,8.29
Low Birthweight,Tehama,2021-2023,Total Population,Total population,159.0,2302.0,6.91,5.94,8.02
Low Birthweight,Trinity,2021-2023,Total Population,Total population,25.0,312.0,8.01,5.49,11.56
Low Birthweight,Tulare,2021-2023,Total Population,Total population,1502.0,20192.0,7.44,7.08,7.81
Low Birthweight,Tuolumne,2021-2023,Total Population,Total population,94.0,1332.0,7.06,5.8,8.56
Low Birthweight,Ventura,2021-2023,Total Population,Total population,1721.0,25982.0,6.62,6.33,6.93
Low Birthweight,Yolo,2021-2023,Total Population,Total population,354.0,5770.0,6.14,5.54,6.78
Low Birthweight,Yuba,2021-2023,Total Population,Total population,250.0,3485.0,7.17,6.36,8.08
Low Birthweight,California,2021-2023,Race Alone and Ethnicity,Hispanic of any race,42343.0,593052.0,7.14,7.07,7.21
Low Birthweight,California,2021-2023,Race Alone and Ethnicity,Multiracial alone,2426.0,30823.0,7.87,7.58,8.18
Low Birthweight,California,2021-2023,Race Alone and Ethnicity,Black alone,7404.0,58771.0,12.6,12.33,12.87
Low Birthweight,California,2021-2023,Race Alone and Ethnicity,AIAN alone,277.0,3701.0,7.48,6.68,8.38
Low Birthweight,California,2021-2023,Race Alone and Ethnicity,Asian alone,14361.0,165928.0,8.65,8.52,8.79
Low Birthweight,California,2021-2023,Race Alone and Ethnicity,NHPI alone,371.0,4605.0,8.06,7.3,8.88
Low Birthweight,California,2021-2023,Race Alone and Ethnicity,White alone,19289.0,327542.0,5.89,5.81,5.97
Low Birthweight,California,2021-2023,Race Alone and Ethnicity,Other alone,129.0,1399.0,9.22,7.81,10.85
Low Birthweight,California,2021-2023,Race Alone and Ethnicity,Unknown alone,5183.0,53959.0,9.61,9.36,9.86
Low Birthweight,Alameda,2021-2023,Race Alone and Ethnicity,Hispanic of any race,945.0,13712.0,6.89,6.48,7.33
Low Birthweight,Alameda,2021-2023,Race Alone and Ethnicity,Multiracial alone,119.0,1535.0,7.75,6.52,9.2
Low Birthweight,Alameda,2021-2023,Race Alone and Ethnicity,Black alone,503.0,3949.0,12.74,11.73,13.81
Low Birthweight,Alameda,2021-2023,Race Alone and Ethnicity,AIAN alone,0.0,54.0,0.0,0.0,0.0
Low Birthweight,Alameda,2021-2023,Race Alone and Ethnicity,Asian alone,1475.0,17064.0,8.64,8.23,9.07
Low Birthweight,Alameda,2021-2023,Race Alone and Ethnicity,NHPI alone,31.0,436.0,7.11,5.05,9.92
Low Birthweight,Alameda,2021-2023,Race Alone and Ethnicity,White alone,597.0,11013.0,5.42,5.01,5.86
Low Birthweight,Alameda,2021-2023,Race Alone and Ethnicity,Other alone,0.0,72.0,0.0,0.0,0.0
Low Birthweight,Alameda,2021-2023,Race Alone and Ethnicity,Unknown alone,159.0,1890.0,8.41,7.24,9.75
Low Birthweight,Alpine,2021-2023,Race Alone and Ethnicity,Hispanic of any race,0.0,5.0,0.0,0.0,0.0
Low Birthweight,Alpine,2021-2023,Race Alone and Ethnicity,Multiracial alone,0.0,1.0,0.0,0.0,0.0
Low Birthweight,Alpine,2021-2023,Race Alone and Ethnicity,Black alone,0.0,2.0,0.0,0.0,0.0
Low Birthweight,Alpine,2021-2023,Race Alone and Ethnicity,AIAN alone,0.0,3.0,0.0,0.0,0.0
Low Birthweight,Alpine,2021-2023,Race Alone and Ethnicity,Asian alone,0.0,0.0,0.0,0.0,0.0
Low Birthweight,Alpine,2021-2023,Race Alone and Ethnicity,NHPI alone,0.0,0.0,0.0,0.0,0.0
Low Birthweight,Alpine,2021-2023,Race Alone and Ethnicity,White alone,0.0,12.0,0.0,0.0,0.0
Low Birthweight,Alpine,2021-2023,Race Alone and Ethnicity,Other alone,0.0,0.0,0.0,0.0,0.0
Low Birthweight,Alpine,2021-2023,Race Alone and Ethnicity,Unknown alone,0.0,0.0,0.0,0.0,0.0
Low Birthweight,Amador,2021-2023,Race Alone and Ethnicity,Hispanic of any race,13.0,168.0,7.74,4.58,12.79
Low Birthweight,Amador,2021-2023,Race Alone and Ethnicity,Multiracial alone,0.0,28.0,0.0,0.0,0.0
Low Birthweight,Amador,2021-2023,Race Alone and Ethnicity,Black alone,0.0,10.0,0.0,0.0,0.0
Low Birthweight,Amador,2021-2023,Race Alone and Ethnicity,AIAN alone,0.0,20.0,0.0,0.0,0.0
Low Birthweight,Amador,2021-2023,Race Alone and Ethnicity,Asian alone,0.0,13.0,0.0,0.0,0.0
Low Birthweight,Amador,2021-2023,Race Alone and Ethnicity,NHPI alone,0.0,1.0,0.0,0.0,0.0
Low Birthweight,Amador,2021-2023,Race Alone and Ethnicity,White alone,44.0,700.0,6.29,4.72,8.33
Low Birthweight,Amador,2021-2023,Race Alone and Ethnicity,Other alone,0.0,2.0,0.0,0.0,0.0
Low Birthweight,Amador,2021-2023,Race Alone and Ethnicity,Unknown alone,0.0,31.0,0.0,0.0,0.0
Low Birthweight,Butte,2021-2023,Race Alone and Ethnicity,Hispanic of any race,103.0,1427.0,7.22,5.99,8.68
Low Birthweight,Butte,2021-2023,Race Alone and Ethnicity,Multiracial alone,20.0,302.0,6.62,4.33,10.01
Low Birthweight,Butte,2021-2023,Race Alone and Ethnicity,Black alone,0.0,107.0,0.0,0.0,0.0
Low Birthweight,Butte,2021-2023,Race Alone and Ethnicity,AIAN alone,0.0,90.0,0.0,0.0,0.0
Low Birthweight,Butte,2021-2023,Race Alone and Ethnicity,Asian alone,47.0,470.0,10.0,7.6,13.04
Low Birthweight,Butte,2021-2023,Race Alone and Ethnicity,NHPI alone,0.0,9.0,0.0,0.0,0.0
Low Birthweight,Butte,2021-2023,Race Alone and Ethnicity,White alone,246.0,3567.0,6.9,6.11,7.78
Low Birthweight,Butte,2021-2023,Race Alone and Ethnicity,Other alone,0.0,3.0,0.0,0.0,0.0
Low Birthweight,Butte,2021-2023,Race Alone and Ethnicity,Unknown alone,0.0,58.0,0.0,0.0,0.0
Low Birthweight,Calaveras,2021-2023,Race Alone and Ethnicity,Hispanic of any race,13.0,213.0,6.1,3.6,10.16
Low Birthweight,Calaveras,2021-2023,Race Alone and Ethnicity,Multiracial alone,0.0,41.0,0.0,0.0,0.0
Low Birthweight,Calaveras,2021-2023,Race Alone and Ethnicity,Black alone,0.0,6.0,0.0,0.0,0.0
Low Birthweight,Calaveras,2021-2023,Race Alone and Ethnicity,AIAN alone,0.0,17.0,0.0,0.0,0.0
Low Birthweight,Calaveras,2021-2023,Race Alone and Ethnicity,Asian alone,0.0,16.0,0.0,0.0,0.0
Low Birthweight,Calaveras,2021-2023,Race Alone and Ethnicity,NHPI alone,0.0,1.0,0.0,0.0,0.0
Low Birthweight,Calaveras,2021-2023,Race Alone and Ethnicity,White alone,54.0,819.0,6.59,5.09,8.5
Low Birthweight,Calaveras,2021-2023,Race Alone and Ethnicity,Other alone,0.0,1.0,0.0,0.0,0.0
Low Birthweight,Calaveras,2021-2023,Race Alone and Ethnicity,Unknown alone,0.0,25.0,0.0,0.0,0.0
Low Birthweight,Colusa,2021-2023,Race Alone and Ethnicity,Hispanic of any race,44.0,575.0,7.65,5.75,10.12
Low Birthweight,Colusa,2021-2023,Race Alone and Ethnicity,Multiracial alone,0.0,8.0,0.0,0.0,0.0
Low Birthweight,Colusa,2021-2023,Race Alone and Ethnicity,Black alone,0.0,2.0,0.0,0.0,0.0
Low Birthweight,Colusa,2021-2023,Race Alone and Ethnicity,AIAN alone,0.0,12.0,0.0,0.0,0.0
Low Birthweight,Colusa,2021-2023,Race Alone and Ethnicity,Asian alone,0.0,4.0,0.0,0.0,0.0
Low Birthweight,Colusa,2021-2023,Race Alone and Ethnicity,NHPI alone,0.0,1.0,0.0,0.0,0.0
Low Birthweight,Colusa,2021-2023,Race Alone and Ethnicity,White alone,13.0,180.0,7.22,4.27,11.96
Low Birthweight,Colusa,2021-2023,Race Alone and Ethnicity,Other alone,0.0,0.0,0.0,0.0,0.0
Low Birthweight,Colusa,2021-2023,Race Alone and Ethnicity,Unknown alone,0.0,27.0,0.0,0.0,0.0
Low Birthweight,Contra Costa,2021-2023,Race Alone and Ethnicity,Hispanic of any race,818.0,12153.0,6.73,6.3,7.19
Low Birthweight,Contra Costa,2021-2023,Race Alone and Ethnicity,Multiracial alone,121.0,1453.0,8.33,7.01,9.86
Low Birthweight,Contra Costa,2021-2023,Race Alone and Ethnicity,Black alone,363.0,2810.0,12.92,11.73,14.21
Low Birthweight,Contra Costa,2021-2023,Race Alone and Ethnicity,AIAN alone,0.0,41.0,0.0,0.0,0.0
Low Birthweight,Contra Costa,2021-2023,Race Alone and Ethnicity,Asian alone,590.0,6201.0,9.51,8.81,10.27
Low Birthweight,Contra Costa,2021-2023,Race Alone and Ethnicity,NHPI alone,22.0,246.0,8.94,5.98,13.17
Low Birthweight,Contra Costa,2021-2023,Race Alone and Ethnicity,White alone,624.0,10983.0,5.68,5.26,6.13
Low Birthweight,Contra Costa,2021-2023,Race Alone and Ethnicity,Other alone,0.0,100.0,0.0,0.0,0.0
Low Birthweight,Contra Costa,2021-2023,Race Alone and Ethnicity,Unknown alone,68.0,731.0,9.3,7.4,11.63
Low Birthweight,Del Norte,2021-2023,Race Alone and Ethnicity,Hispanic of any race,11.0,181.0,6.08,3.43,10.55
